"","Inoculum_1","Inoculum_2","Inoculum_3","Inoculum_4","Inoculum_5","Inoculum_6","Inoculum_7","Inoculum_8"
"806rcbc43",11367,11674,9335,10221,10710,10582,11312,13435
"806rcbc430",11864,11030,9208,9618,10542,9735,10619,12879
"806rcbc431",11278,11080,9235,9573,10566,9686,10621,12942
"806rcbc432",11261,10978,9230,9667,10593,9751,10553,12781
"806rcbc433",11142,10947,9132,9838,10524,9969,10482,12737
"806rcbc434",11497,11001,9077,9431,10588,9719,10536,12813
"806rcbc435",11072,10990,9127,9598,10475,9863,10490,12717
"806rcbc436",11377,11025,9447,9557,10596,9832,11118,13225
"806rcbc437",10970,10859,9113,9459,10522,9736,10441,12711
"806rcbc438",11036,10911,9162,9757,10568,9884,10582,12852
"806rcbc439",11241,10970,9211,9481,10542,9816,10594,12828
"806rcbc44",11159,11167,9267,9591,10468,9811,10523,12863
"806rcbc440",11066,10901,9129,9466,10451,9740,10704,12722
"806rcbc441",11214,10971,9123,9445,10478,9866,10434,13163
"806rcbc442",11025,10930,9104,9447,10493,9715,11227,12757
"806rcbc443",11277,11024,9199,9498,10576,11383,10546,12848
"806rcbc444",10898,0,9075,9405,10547,9764,10450,12710
"806rcbc445",11146,11003,9119,9485,10577,9831,10557,12746
"806rcbc446",11220,10942,9135,9431,10581,9754,10470,12754
"806rcbc447",11096,11061,9562,9732,10647,9930,10849,12933
"806rcbc448",11124,11096,9133,9478,10672,9733,10703,12919
"806rcbc449",11288,10962,9117,9656,10457,10167,10499,12705
"806rcbc45",11462,11452,9376,9986,10756,10478,11340,13273
"806rcbc450",11236,12451,9149,9822,10865,9694,10449,12718
"806rcbc451",11232,11809,9309,9556,10495,9802,10493,12766
"806rcbc452",11164,11006,9295,9518,10516,9796,10513,12744
"806rcbc453",11364,11028,9184,9751,10537,9811,10786,13196
"806rcbc455",11322,11020,9069,9592,10455,9673,10453,12713
"806rcbc456",11082,11031,9114,9497,10503,9667,11011,12638
"806rcbc458",11084,11018,9091,9449,10523,9951,10602,12865
"806rcbc459",11414,11231,9201,9574,10561,9778,10505,12745
"806rcbc46",11201,11272,9245,9646,10612,10092,10649,13146
"806rcbc460",11517,11102,9195,9541,10543,9765,10618,12899
"806rcbc461",10973,10923,9096,9479,10424,9648,10474,12678
"806rcbc462",11504,11075,9220,9466,10506,9767,10527,12910
"806rcbc463",11124,11025,9152,9480,10552,9730,10506,12788
"806rcbc465",10979,10906,9095,9476,10463,9642,10806,12659
"806rcbc466",11036,10939,9095,9419,10419,9695,10760,13013
"806rcbc467",11076,11017,9090,9518,10415,9613,10415,12676
"806rcbc468",11033,10965,9095,9487,10515,9807,10548,12721
"806rcbc469",10999,10948,9081,9469,10473,9691,10502,12668
"806rcbc47",11332,11824,9444,9939,10826,10819,11427,13590
"806rcbc470",11081,11013,9122,9476,10427,9665,10465,12884
"806rcbc471",11164,11098,9325,9551,10585,9739,10565,12782
"806rcbc472",11312,11217,9190,9686,10853,9881,10938,12972
"806rcbc473",11274,14508,9251,9644,10574,9985,10683,13252
"806rcbc474",11271,12356,9180,9692,10539,9821,10699,13049
"806rcbc476",11044,11037,9073,9439,10406,9675,10468,12674
"806rcbc477",11053,11032,9074,9453,10469,9705,10456,12650
"806rcbc478",11202,11077,9106,9745,10455,9741,10458,12710
"806rcbc480",11347,11249,9332,9475,10497,9755,10594,12739
"806rcbc481",11361,11181,9335,9471,10516,9740,10548,12748
"806rcbc482",11029,10934,9060,9395,10421,9642,10717,12607
"806rcbc485",11344,10945,9195,9546,10445,9622,10739,12722
"806rcbc486",11180,11028,9247,9486,10464,9634,10444,12685
"806rcbc488",11343,10985,9142,9468,10436,9662,10465,12722
"806rcbc489",11063,11296,9150,9533,10548,9816,10613,12740
"806rcbc49",11564,11207,9416,9635,10794,10026,11572,13429
"806rcbc490",11143,11028,9164,9403,10515,9735,11187,12676
"806rcbc491",11331,11131,9128,9536,10464,9695,10534,12722
"806rcbc492",11543,11030,9356,9512,10692,9939,11098,13074
"806rcbc493",11169,10935,9176,9529,11923,9747,10659,12705
"806rcbc494",11475,11168,9325,9438,10482,9738,10448,12770
"806rcbc495",11235,11177,9269,9480,10464,9662,10472,12683
"806rcbc5",12240,12047,9803,10464,11598,10940,10619,13351
